name,scientific,image
Namaqua Warbler,Phragmacia substriata,N/A
Neddicky,Cisticola fulvicapilla,https://birda.twic.pics/species/1be5591c-855a-4b70-9547-f6ddd0450735/reference_images/Neddicky_-_Adult.jpg
Pale-crowned Cisticola,Cisticola cinnamomeus,N/A
Rattling Cisticola,Cisticola chiniana,https://birda.twic.pics/species/6c096b8f-5c1a-46db-bd7b-5e24bae659a1/reference_images/Rattling_Cisticola.jpg
Red-faced Cisticola,Cisticola erythrops,https://birda.twic.pics/species/319a8fcb-e02a-45f3-a6d8-dc7432efc3c3/reference_images/Red-faced_Cisticola.jpg
Red-winged Prinia,Prinia erythroptera,N/A
Roberts's Warbler,Oreophilais robertsi,N/A
Rudd's Apalis,Apalis ruddi,N/A
Rufous-eared Warbler,Malcorus pectoralis,https://birda.twic.pics/species/9a17d785-2475-47bb-981d-2c56cd5724ea/reference_images/Rufous-eared_Warbler.jpg
Rufous-winged Cisticola,Cisticola galactotes,N/A
Short-winged Cisticola,Cisticola brachypterus,N/A
Singing Cisticola,Cisticola cantans,N/A
Stierling's Wren-Warbler,Calamonastes stierlingi,N/A
Tawny-flanked Prinia,Prinia subflava,https://birda.twic.pics/species/91985f14-4a3d-4ea1-a4a1-a940014b0ce9/reference_images/Tawny-flanked_Prinia_-_Adult.jpg
