common_name,scientific_name,family
Cape Cormorant,Phalacrocorax capensis,Phalacrocoracidae (Cormorants)
Bank Cormorant,Phalacrocorax neglectus,Phalacrocoracidae (Cormorants)
African Darter,Anhinga rufa,Anhingidae (Darters)
Water Thick-knee,Burhinus vermiculatus,Burhinidae (Thick-knees)
Spotted Thick-knee,Burhinus capensis,Burhinidae (Thick-knees)
Black-faced Sheathbill,Chionis minor,Chionidae (Sheathbills)
African Oystercatcher,Haematopus moquini,Haematopodidae (Oystercatchers)
Pied Avocet,Recurvirostra avosetta,"Recurvirostridae (Avocets, Stilts)"
Black-winged Stilt,Himantopus himantopus,"Recurvirostridae (Avocets, Stilts)"
Grey Plover,Pluvialis squatarola,Charadriidae (Plovers)
Common Ringed Plover,Charadrius hiaticula,Charadriidae (Plovers)
Kittlitz's Plover,Charadrius pecuarius,Charadriidae (Plovers)
African Three-banded Plover,Charadrius tricollaris,Charadriidae (Plovers)
White-fronted Plover,Charadrius marginatus,Charadriidae (Plovers)
Chestnut-banded Plover,Charadrius pallidus,Charadriidae (Plovers)
Tibetan Sandplover,Charadrius atrifrons,Charadriidae (Plovers)
Greater Sandplover,Charadrius leschenaultii,Charadriidae (Plovers)
Caspian Plover,Charadrius asiaticus,Charadriidae (Plovers)
Long-toed Lapwing,Vanellus crassirostris,Charadriidae (Plovers)
Blacksmith Lapwing,Vanellus armatus,Charadriidae (Plovers)
White-crowned Lapwing,Vanellus albiceps,Charadriidae (Plovers)
Senegal Lapwing,Vanellus lugubris,Charadriidae (Plovers)
Black-winged Lapwing,Vanellus melanopterus,Charadriidae (Plovers)
Crowned Lapwing,Vanellus coronatus,Charadriidae (Plovers)
Wattled Lapwing,Vanellus senegallus,Charadriidae (Plovers)
Greater Painted-snipe,Rostratula benghalensis,Rostratulidae (Painted-snipes)
African Jacana,Actophilornis africanus,Jacanidae (Jacanas)
Lesser Jacana,Microparra capensis,Jacanidae (Jacanas)
Whimbrel,Numenius phaeopus,"Scolopacidae (Sandpipers, Snipes, Phalaropes)"
Eurasian Curlew,Numenius arquata,"Scolopacidae (Sandpipers, Snipes, Phalaropes)"
Bar-tailed Godwit,Limosa lapponica,"Scolopacidae (Sandpipers, Snipes, Phalaropes)"
Ruddy Turnstone,Arenaria interpres,"Scolopacidae (Sandpipers, Snipes, Phalaropes)"
Red Knot,Calidris canutus,"Scolopacidae (Sandpipers, Snipes, Phalaropes)"
Ruff,Calidris pugnax,"Scolopacidae (Sandpipers, Snipes, Phalaropes)"
Curlew Sandpiper,Calidris ferruginea,"Scolopacidae (Sandpipers, Snipes, Phalaropes)"
Temminck's Stint,Calidris temminckii,"Scolopacidae (Sandpipers, Snipes, Phalaropes)"
Sanderling,Calidris alba,"Scolopacidae (Sandpipers, Snipes, Phalaropes)"
Little Stint,Calidris minuta,"Scolopacidae (Sandpipers, Snipes, Phalaropes)"
African Snipe,Gallinago nigripennis,"Scolopacidae (Sandpipers, Snipes, Phalaropes)"
Great Snipe,Gallinago media,"Scolopacidae (Sandpipers, Snipes, Phalaropes)"
Red Phalarope,Phalaropus fulicarius,"Scolopacidae (Sandpipers, Snipes, Phalaropes)"
Terek Sandpiper,Xenus cinereus,"Scolopacidae (Sandpipers, Snipes, Phalaropes)"
Common Sandpiper,Actitis hypoleucos,"Scolopacidae (Sandpipers, Snipes, Phalaropes)"
Green Sandpiper,Tringa ochropus,"Scolopacidae (Sandpipers, Snipes, Phalaropes)"
Common Greenshank,Tringa nebularia,"Scolopacidae (Sandpipers, Snipes, Phalaropes)"
Common Redshank,Tringa totanus,"Scolopacidae (Sandpipers, Snipes, Phalaropes)"
Wood Sandpiper,Tringa glareola,"Scolopacidae (Sandpipers, Snipes, Phalaropes)"
Marsh Sandpiper,Tringa stagnatilis,"Scolopacidae (Sandpipers, Snipes, Phalaropes)"
Common Buttonquail,Turnix sylvaticus,Turnicidae (Buttonquails)
Black-rumped Buttonquail,Turnix nanus,Turnicidae (Buttonquails)
