common_name,scientific_name,image_src
Horus Swift,Apus horus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/112637/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Little Swift,Apus affinis,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1787/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Bradfield's Swift,Apus bradfieldi,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1783/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
African Swift,Apus barbatus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1780/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Common Swift,Apus apus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1776/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Senegal Coucal,Centropus senegalensis,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1295/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
White-browed Coucal,Centropus superciliosus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1296/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Black Coucal,Centropus grillii,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1287/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Whistling Yellowbill,Ceuthmochares australis,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1016528/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Jacobin Cuckoo,Clamator jacobinus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1192/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Levaillant's Cuckoo,Clamator levaillantii,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1193/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Great Spotted Cuckoo,Clamator glandarius,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1195/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Thick-billed Cuckoo,Pachycoccyx audeberti,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1196/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Klaas's Cuckoo,Chrysococcyx klaas,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1235/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
African Emerald Cuckoo,Chrysococcyx cupreus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1236/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Diederik Cuckoo,Chrysococcyx caprius,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1237/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Red-chested Cuckoo,Cuculus solitarius,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1202/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Black Cuckoo,Cuculus clamosus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1203/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Common Cuckoo,Cuculus canorus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1205/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
African Cuckoo,Cuculus gularis,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1206/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
African Finfoot,Podica senegalensis,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2800/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Buff-spotted Flufftail,Sarothrura elegans,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2810/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Red-chested Flufftail,Sarothrura rufa,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2811/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Striped Flufftail,Sarothrura affinis,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2814/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
White-winged Flufftail,Sarothrura ayresi,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2816/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
African Rail,Rallus caerulescens,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2871/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
African Crake,Crex egregia,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2877/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Corncrake,Crex crex,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2878/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Spotted Crake,Porzana porzana,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2903/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Black Crake,Zapornia flavirostra,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2897/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Baillon's Crake,Zapornia pusilla,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2901/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Striped Crake,Amaurornis marginalis,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2916/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Purple Swamphen,Porphyrio porphyrio,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2927/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Allen's Gallinule,Porphyrio alleni,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2930/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Common Moorhen,Gallinula chloropus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1017062/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Lesser Moorhen,Paragallinula angulata,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2939/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Red-knobbed Coot,Fulica cristata,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2943/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Grey Crowned Crane,Balearica regulorum,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2785/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Wattled Crane,Bugeranus carunculatus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2793/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Blue Crane,Anthropoides paradiseus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2792/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Black-bellied Bustard,Lissotis melanogaster,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2780/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Ludwig's Bustard,Neotis ludwigii,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2762/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Denham's Bustard,Neotis denhami,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2761/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Kori Bustard,Ardeotis kori,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2766/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Red-crested Bustard,Lophotis ruficrista,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2772/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Karoo Bustard,Heterotetrax vigorsii,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2776/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Southern Black Bustard,Afrotis afra,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2774/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Northern Black Bustard,Afrotis afraoides,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2773/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
White-bellied Bustard,Eupodotis senegalensis,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2778/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Blue Bustard,Eupodotis caerulescens,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2779/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Grey Go-away-bird,Corythaixoides concolor,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2138/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Purple-crested Turaco,Gallirex porphyreolophus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2135/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Livingstone's Turaco,Tauraco livingstonii,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2125/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Knysna Turaco,Tauraco corythaix,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2126/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
King Penguin,Aptenodytes patagonicus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3848/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Gentoo Penguin,Pygoscelis papua,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3850/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Macaroni Penguin,Eudyptes chrysolophus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3857/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Southern Rockhopper Penguin,Eudyptes chrysocome,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/32472/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
African Penguin,Spheniscus demersus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3861/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Wilson's Storm-petrel,Oceanites oceanicus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3969/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
White-bellied Storm-petrel,Fregetta grallaria,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3974/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Black-bellied Storm-petrel,Fregetta tropica,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3973/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Leach's Storm-petrel,Hydrobates leucorhous,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1018415/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Northern Royal Albatross,Diomedea sanfordi,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/30005/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Southern Royal Albatross,Diomedea epomophora,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3954/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Snowy Albatross,Diomedea exulans,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3952/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Tristan Albatross,Diomedea dabbenena,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/30013/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Sooty Albatross,Phoebetria fusca,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3967/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
