common_name,scientific_name,afrikaans_name,image,family,size,habitat,colors
Karoo Thrush,Turdus smithi,Geelbeklyster,,Thrushes,Medium,Forest,"['Brown', 'Grey', 'Orange']"
Kelp Gull,Larus dominicanus,Kelpmeeu,,Gulls,Large,Marine,"['Black', 'White', 'Yellow']"
Kerguelen Petrel,Aphrodroma brevirostris,Kerguelense Stormvoël,,Petrels,Large,Marine,"['Grey', 'Brown', 'White']"
King Penguin,Aptenodytes patagonicus,Koningpikkewyn,,Penguins,Very Large,Marine,"['Black', 'White', 'Yellow']"
Kittlitz's Plover,Charadrius pecuarius,Geelborsstrandkiewiet,,Plovers,Small,Wetland,"['Brown', 'White', 'Black']"
Klaas's Cuckoo,Chrysococcyx klaas,Meitjie,,Cuckoos,Small,Fynbos,"['Green', 'White']"
Knob-billed Duck,Sarkidiornis melanotos,Knobbeleend,,Ducks,Very Large,Wetland,"['Black', 'White', 'Green']"
Knysna Turaco,Tauraco corythaix,Knysnaloerie,https://cdn.sabirds.app/knysna-turaco/1_medium.webp,Turacos,Large,Forest,"['Green', 'Red', 'Blue']"
Knysna Warbler,Bradypterus sylvaticus,Knysnaruigtesanger,https://cdn.sabirds.app/knysna-warbler/1_medium.webp,Bush-Warblers,Small,Forest,"['Brown', 'Buff']"
Knysna Woodpecker,Campethera notata,Knysnaspeg,https://cdn.sabirds.app/knysna-woodpecker/1_medium.webp,Woodpeckers,Medium,Forest,"['Green', 'Grey', 'Red']"
Kori Bustard,Ardeotis kori,Gompou,https://cdn.sabirds.app/kori-bustard/1_medium.webp,Bustards,Very Large,Grassland,"['Brown', 'Grey', 'White']"
Kurrichane Thrush,Turdus libonyana,Rooibeklyster,https://cdn.sabirds.app/kurrichane-thrush/1_medium.webp,Thrushes,Medium,Woodland,"['Brown', 'Orange', 'Grey']"
Lanner Falcon,Falco biarmicus,Edelvalk,https://cdn.sabirds.app/lanner-falcon/1_medium.webp,Falcons,Large,Fynbos,"['Brown', 'Buff', 'Black']"
Lappet-faced Vulture,Torgos tracheliotos,Swartaasvoël,https://cdn.sabirds.app/lappet-faced-vulture/1_medium.webp,Vultures,Very Large,Grassland,"['Brown', 'Black', 'Pink']"
Large-billed Lark,Galerida magnirostris,Dikbeklewerik,https://cdn.sabirds.app/large-billed-lark/1_medium.webp,Larks,Small,Grassland,"['Brown', 'Buff', 'White']"
Lark-like Bunting,Emberiza impetuani,Vaalstreepkoppie,https://cdn.sabirds.app/lark-like-bunting/1_medium.webp,Buntings,Small,Karoo,"['Brown', 'Buff']"
Laughing Dove,Spilopelia senegalensis,Rooiborsduifie,https://cdn.sabirds.app/laughing-dove/1_medium.webp,Doves,Medium,Woodland,"['Brown', 'Pink', 'Blue']"
Laughing Gull,Leucophaeus atricilla,Lagmeeu,https://cdn.sabirds.app/laughing-gull/1_medium.webp,Gulls,Large,Woodland,"['White', 'Grey', 'Black']"
Layard's Tit-babbler,Curruca layardi,Grystjeriktik,https://cdn.sabirds.app/layards-tit-babbler/1_medium.webp,Warblers,Tiny,Woodland,"['Brown', 'Grey', 'White']"
Laysan Albatross,Phoebastria immutabilis,Swartwangalbatros (-malmok),https://cdn.sabirds.app/laysan-albatross/1_medium.webp,Albatrosses,Very Large,Marine,"['White', 'Black', 'Grey']"
Lazy Cisticola,Cisticola aberrans,Luitinktinkie,https://cdn.sabirds.app/lazy-cisticola/1_medium.webp,Cisticolas,Tiny,Rocky,"['Brown', 'Buff']"
Leach's Storm Petrel,Hydrobates leucorhous,Swaalstertstormswael,https://cdn.sabirds.app/leachs-storm-petrel/1_medium.webp,Storm-Petrels,Small,Marine,"['Black', 'Grey']"
Lemon Dove,Columba larvata,Kaneelduifie,https://cdn.sabirds.app/lemon-dove/1_medium.webp,Pigeons,Medium,Woodland,"['Brown', 'Grey', 'Yellow']"
Lemon-breasted Canary,Crithagra citrinipectus,Geelborskanarie,https://cdn.sabirds.app/lemon-breasted-canary/1_medium.webp,Canaries,Tiny,Woodland,"['Yellow', 'Green', 'White']"
Lesser Black-backed Gull,Larus fuscus,Kleinswartrugmeeu,https://cdn.sabirds.app/lesser-black-backed-gull/1_medium.webp,Gulls,Large,Coastal,"['Grey', 'White', 'Yellow']"
Lesser Crested Tern,Thalasseus bengalensis,Kuifkopsterretjie,https://cdn.sabirds.app/lesser-crested-tern/1_medium.webp,Terns,Medium,Coastal,"['White', 'Black', 'Orange']"
Lesser Cuckoo,Cuculus poliocephalus,Kleinkoekoek,https://cdn.sabirds.app/lesser-cuckoo/1_medium.webp,Cuckoos,Small,Forest,"['Grey', 'Brown', 'Black']"
Lesser Flamingo,Phoeniconaias minor,Kleinflamink,https://cdn.sabirds.app/lesser-flamingo/1_medium.webp,Flamingos,Very Large,Wetland,"['Pink', 'Red', 'Black']"
Lesser Frigatebird,Fregata ariel,Kleinfregatvoël,https://cdn.sabirds.app/lesser-frigatebird/1_medium.webp,Frigatebirds,Large,Marine,"['Black', 'White', 'Red']"
Lesser Grey Shrike,Lanius minor,Gryslaksman,,Shrikes,Small,Grassland,"['Grey', 'Black', 'White']"
Lesser Honeyguide,Indicator minor,Kleinheuningwyser,,Honeyguides,Small,Woodland,"['Grey', 'Green', 'White']"
Lesser Jacana,Microparra capensis,Dwerglangtoon,,Jacanas,Small,Wetland,"['Brown', 'White', 'Yellow']"
Lesser Kestrel,Falco naumanni,Kleinrooivalk,,Falcons,Medium,Grassland,"['Brown', 'Grey', 'Black']"
Lesser Masked Weaver,Ploceus intermedius,Kleingeelvink,,Weavers,Small,Woodland,"['Yellow', 'Black']"
Lesser Moorhen,Paragallinula angulata,Kleinwaterhoender,,Moorhens,Medium,Wetland,"['Black', 'Yellow', 'Green']"
Lesser Noddy,Anous tenuirostris,Kleinbruinsterretjie,,Noddies,Medium,Marine,"['White', 'Grey', 'Black']"
Lesser Sand Plover,Charadrius mongolus,Mongoolse Strandkiewiet,,Plovers,Medium,Wetland,"['Brown', 'White']"
Lesser Spotted Eagle,Clanga pomarina,Gevlekte Arend,,Eagles,Very Large,Forest,"['Brown', 'White', 'Black']"
Lesser Striped Swallow,Cecropis abyssinica,Kleinstreepswael,,Swallows,Tiny,Grassland,"['Blue', 'Orange', 'White']"
Lesser Swamp Warbler,Acrocephalus gracilirostris,Kaapse Rietsanger,,Reed-Warblers,Tiny,Wetland,"['Brown', 'Buff']"
Lesser Whitethroat,Curruca curruca,Klein Witkeelsanger,,Warblers,Tiny,Woodland,"['White', 'Green', 'Yellow', 'Grey']"
Lesser Yellowlegs,Tringa flavipes,Kleingeelpootruiter,,Sandpipers,Medium,Wetland,"['Yellow', 'Brown', 'Grey', 'White']"
Levaillant's Cisticola,Cisticola tinniens,Vleitinktinkie,,Cisticolas,Tiny,Wetland,"['Brown', 'Orange', 'Buff']"
Levaillant's Cuckoo,Clamator levaillantii,Gestreepte Nuwejaarsvoël,,Cuckoos,Medium,Grassland,"['Black', 'White', 'Grey']"
Light-mantled Albatross,Phoebetria palpebrata,Swartkopalbatros (-malmok),,Albatrosses,Very Large,Marine,"['White', 'Black', 'Grey']"
Lilac-breasted Roller,Coracias caudatus,Gewone Troupant,,Rollers,Medium,Fynbos,"['Blue', 'Purple', 'Brown']"
Little Bee-eater,Merops pusillus,Kleinbyvreter,,Bee-eaters,Small,Grassland,"['Green', 'Yellow', 'Orange']"
Little Bittern,Ixobrychus minutus,Kleinrietreier (Woudapie),,Bitterns,Medium,Wetland,"['Buff', 'Black']"
Little Blue Heron,Egretta caerulea,Kleinbloureier,,Herons,Large,Wetland,"['Blue', 'Grey', 'White', 'Black']"
Little Crake,Zapornia parva,Kleinriethaan,,Crakes,Small,Wetland,"['Brown', 'Grey', 'Red']"
Little Egret,Egretta garzetta,Kleinwitreier,,Herons,Large,Wetland,"['White', 'Black']"
Little Grebe,Tachybaptus ruficollis,Kleindobbertjie,,Grebes,Medium,Wetland,"['Brown', 'Black', 'Buff']"
Little Ringed Plover,Charadrius dubius,Kleinringnekstrandkiewiet,,Plovers,Small,Wetland,"['Brown', 'White', 'Black']"
Little Rush Warbler,Bradypterus baboecala,Kaapse Vleisanger,,Bush-Warblers,Tiny,Wetland,"['Brown', 'Buff']"
